URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The New Mutants,2019,,,"Action, Horror, Sci-Fi",Josh Boone,"Anya Taylor-Joy,Maisie Williams,Antonio Banderas,Alice Braga"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Fifth Element,1997,126 min,PG-13,"Action, Adventure, Sci-Fi",Luc Besson,"Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Spy Who Dumped Me,2018,117 min,R,"Action, Adventure, Comedy",Susanna Fogel,"Justin Theroux,Blanka Györfi-Tóth,Vilma Szécsi,Mila Kunis"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",X-Men: Apocalypse,2016,144 min,PG-13,"Action, Adventure, Sci-Fi",Bryan Singer,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Kursk,2018,117 min,PG-13,"Action, Drama, History",Thomas Vinterberg,"Matthias Schoenaerts,Léa Seydoux,Peter Simonischek,August Diehl"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Scott Pilgrim vs. the World,2010,112 min,PG-13,"Action, Comedy, Fantasy",Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Anna Kendrick"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Van Helsing,2004,131 min,PG-13,"Action, Adventure, Fantasy",Stephen Sommers,"Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Shuler Hensley"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Sicario: Day of the Soldado,2018,122 min,R,"Action, Crime, Drama",Stefano Sollima,"Benicio Del Toro,Josh Brolin,Isabela Moner,Jeffrey Donovan"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Dark Knight Rises,2012,164 min,PG-13,"Action, Thriller",Christopher Nolan,"Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Legion,2010,100 min,R,"Action, Fantasy, Horror",Scott Stewart,"Paul Bettany,Dennis Quaid,Charles S. Dutton,Lucas Black"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Ant-Man,2015,117 min,PG-13,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Watchmen,2009,162 min,R,"Action, Drama, Mystery",Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Deadpool,2016,108 min,R,"Action, Adventure, Comedy",Tim Miller,"Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein"
